userID, productId, Rating, timestamp
AW6A4PPENVZY3,B005LDLP8W,5.0,1405123200
A3EZFFPVS34AMO,B0029NFOE8,5.0,1310428800
A15CL28ALB7MTZ,B000O161X0,5.0,1212105600
A2NLI1M5K2MQ5E,B005DOMKOM,5.0,1324339200
A2S26YGSVXBCFL,B004MYFTCY,4.0,1304208000
A26KXNN6H1IL0I,B003Y73Q3O,3.0,1366588800
A149RNR5RH19YY,B000UVM0ES,4.0,1235865600
A28621TSIR5EOG,B002SFDJMQ,5.0,1286928000
A2PSC7LUNIDEAH,B0089E5R0W,5.0,1348012800
A29KJ32G75L7G9,B0039ORBLK,5.0,1400371200
A17O9AHKHK66AI,B008TCUXLW,5.0,1358985600
A1RJKTYC03L0JY,B0057YRJNK,5.0,1362960000
A1F9Z42CFF9IAY,B004HW7DY8,2.0,1351814400
AGXMC3ITWZASE,B002GP7ZT6,4.0,1268611200
A11I1I9QLMAM1A,B00D429Y12,5.0,1375833600
A3R1WFO4KIUQXZ,B001KZ6C74,5.0,1364256000
AGEWOMQ90BV8R,B00IMLO924,3.0,1400371200
A2NYK9KWFMJV4Y,B00EPD45GI,5.0,1397779200
A292TRC6DX2GKK,B0037SH0EQ,1.0,1287964800
A3IUW081KXD3PE,B004DI7DFU,4.0,1302825600
A1VYFEJM12ZP11,B004CGHDEO,5.0,1375833600
A1QOK9LU90ACF7,B00307EL8M,4.0,1264636800
A22CW0ZHY3NJH8,B00DVEJA7G,5.0,1385164800
A2OBDNQ5ZYU1L8,B00746LVOM,5.0,1332201600
ACJT8MUC0LRF0,B008X9Z9ZQ,5.0,1372636800
A25C2M3QF9G7OQ,B00B6ZCNGM,5.0,1389312000
A3F7F7QKQP2FKT,B003R5AYRE,4.0,1353888000
A33HIV8RXRDM88,B0000E2PMA,4.0,1224115200
A2V5M5EJPOD2IU,B005DLDTAE,5.0,1351382400
A3V0YR50F1XSKP,B007C81JL2,5.0,1376092800
A3J8A5L5AF5TX9,B002TWEKD0,1.0,1287878400
A2KHG3JOFXQ4CE,B0043EV20Q,4.0,1288051200
AGGAQLXPVGM5D,B00170IIGU,4.0,1229558400
A3094EPI56GKZ6,B002J9G59U,5.0,1259884800
A11I1I9QLMAM1A,B004H8FNCQ,4.0,1311552000
A3PU3EDJ2FG1AW,B004FLL58Q,3.0,1329609600
AG8YP2XTC5X1I,B001HKM1HM,4.0,1383782400
A1KDUQ2HU0WD68,B00G5RDU5O,5.0,1397174400
AG2YXYIQ8TLTA,B00BCEK2M4,4.0,1371600000
A1OGCPMSIVK7G4,B004QK7HI8,5.0,1330646400
AHROSV6WJOEGY,B000067TGV,5.0,1043798400
AFNG8O2DXRCUV,B006EKIQYM,5.0,1353110400
A11ULAZ4B5ZXC8,B000EHW88Q,5.0,1384905600
A1J75JJ0Q2OEJN,B00829TIA4,5.0,1365120000
A3UW23DBF2KHWC,B0002JY712,5.0,1376006400
A2QI2NTDTMK2FV,B00009N6VK,5.0,1218844800
A2NB2E5DXE319Z,B007FPIO2E,3.0,1332979200
A2YEOR4XJ8N3QE,B00DR8LA60,4.0,1382572800
A11D1KHM7DVOQK,B00008VF63,4.0,1135296000
A291XTI6NO7DEG,B00007LTB6,5.0,1143676800
AGJRUK27RBVYS,B001AALJ9U,3.0,1340755200
A30X750M8V1XXW,B000L4D54S,5.0,1231459200
